,id_line,label,lemma,base,extent,scope,id_text,line
0,P225009.3,o 1,udu[sheep]N urmah[lion]N gu[eat]V/t,udu ur-mah gu₇,,,P225009,3
1,P225009.4,o 2,udu[sheep]N urbara[wolf]N gu[eat]V/t,udu ur-bar-ra gu₇,,,P225009,4
2,P225009.5,o 3,udu[sheep]N diŋir[deity]N gu[eat]V/t,udu diŋir gu₇,,,P225009,5
3,P235800.3,o 1,muš[snake]N,muš,,,P235800,3
4,P235800.4,o 2,muš[snake]N huš[reddish]V/i,muš huš,,,P235800,4
5,P235800.5,o 3,muš[snake]N ušum[snake]N,muš ušum,,,P235800,5
6,P235800.6,o 4,muš[snake]N a[water]N,muš a,,,P235800,6
7,P247526.3,,,,2,line,P247526,3
8,P247526.4,a i 03',udu[sheep]N kudkudra[disabled]N,udu kud-kud-ra₂,,,P247526,4
9,P247526.5,a i 04',udu[sheep]N niga[fattened]V/i,udu niga,,,P247526,5
10,P247526.6,a i 05',udu[sheep]N niga[fattened]V/i sag[rare]V/i,udu niga sag₁₀,,,P247526,6
11,P247526.7,a i 06',udu[sheep]N niga[fattened]V/i gudus[cowherd]N,udu niga gud-us₂,,,P247526,7
12,P247526.8,a i 07',udu[sheep]N ŋešdu[breeder]N,udu ŋeš-du₃-a,,,P247526,8
13,P247526.9,a i 08',udu[sheep]N ur[roof]N,udu ur₃,,,P247526,9
14,P247526.10,a i 09',udu[sheep]N šu[hand]N ur[roof]N,udu šu ur₃,,,P247526,10
15,P247526.11,a i 10',udu[sheep]N mašdarea[payment]N,udu maš₂-da-ri,,,P247526,11
16,P247526.12,a i 11',udu[sheep]N maššugidgid[diviner]N,udu maš₂-šu-gid₂-gid₂,,,P247526,12
17,P247526.13,a i 12',udu[sheep]N zulumhi[sheep]N,udu zulumhi,,,P247526,13
18,P247526.14,a i 13',udu[sheep]N deg[collect]V/t,udu degₓ(RI)-degₓ(RI),,,P247526,14
19,P247526.15,a i 14',udu[sheep]N na[cvne]N deg[collect]V/t,udu na degₓ(RI),,,P247526,15
20,P247526.16,a i 15',udu[sheep]N diŋir[deity]N gu[eat]V/t,udu diŋir gu₇,,,P247526,16
21,P247526.17,a i 16',udu[sheep]N urmah[lion]N gu[eat]V/t,udu ur-mah gu₇,,,P247526,17
22,P247526.18,a i 17',udu[sheep]N te-x[NA]NA,udu te-x,,,P247526,18
23,P247526.19,a i 18',udu[sheep]N zig[rise]V/t,udu zig₃,,,P247526,19
24,P247526.20,a i 19',udu-x[NA]NA,udu-x,,,P247526,20
25,P247526.21,a i 20',udu[sheep]N namuruna[~herd]N,udu nam-urunₓ(EN)-na,,,P247526,21
26,P247526.22,a i 21',udu[sheep]N namerim[oath]N,udu nam-erim₂,,,P247526,22
27,P247526.23,,,,3,line,P247526,23
28,P247526.24,a i 25',udu[sheep]N x-ra[NA]NA,udu x-ra,,,P247526,24
29,P247526.25,a i 26',udu[sheep]N x-ra[NA]NA,udu x-ra,,,P247526,25
30,P247526.26,a i 27',udu[sheep]N x-ra[NA]NA,udu x-ra,,,P247526,26
31,P247526.27,a i 28,udu[sheep]N x-x-ra[NA]NA,udu x-x-ra,,,P247526,27
32,P247526.28,a i 29',udu[sheep]N x-ra[NA]NA,udu x-ra,,,P247526,28
33,P247526.29,a i 30',udu[sheep]N x[NA]NA diŋir[deity]N,udu x diŋir,,,P247526,29
34,P247526.30,a i 31',udu[sheep]N x-ra[NA]NA,udu x-ra,,,P247526,30
35,P247526.31,,,,0,fragment,P247526,31
36,P247526.33,,,,3,line,P247526,33
37,P247526.34,ii 04,udu[sheep]N x[NA]NA,udu x,,,P247526,34
38,P247526.35,ii 05,udu[sheep]N x[NA]NA,udu x,,,P247526,35
39,P247526.36,ii 06,udu[sheep]N du[push]V/t,udu du₇-du₇,,,P247526,36
40,P247526.37,ii 07,udu[sheep]N sig₅-x[NA]NA,udu sig₅-x,,,P247526,37
41,P247526.38,ii 08,udu[sheep]N gur[thick]V/i,udu gur₄-gur₄,,,P247526,38
42,P247526.39,ii 09,udu[sheep]N gur[thick]V/i,udu gur₄-gur₄,,,P247526,39
43,P247526.40,ii 10,udu[sheep]N x-x-x[NA]NA,udu x-x-x,,,P247526,40
44,P247526.41,ii 11,udu[sheep]N terzum[presentation]N,udu ti-ri₂-zum,,,P247526,41
45,P247526.42,ii 12,udu[sheep]N UŠ-x[NA]NA,udu UŠ-x,,,P247526,42
46,P247526.43,ii 13,udu[sheep]N zusiga[~sheep]N,udu zu₂-si-ga,,,P247526,43
47,P247526.44,ii 14,udu[sheep]N zusiga[~sheep]N kur[mountain]N,udu zu₂-si-ga kur,,,P247526,44
48,P247526.45,ii 15,udu[sheep]N zu₂-si-ga-x-x[NA]NA,udu zu₂-si-ga-x-x,,,P247526,45
49,P247526.46,ii 16,udu[sheep]N x[NA]NA ga[milk]N x[NA]NA,udu x ga x,,,P247526,46
50,P247526.47,ii 17,udu[sheep]N x[NA]NA gig-x[NA]NA,udu x gig-x,,,P247526,47
51,P247526.48,ii 18,udu[sheep]N x[NA]NA diŋir[deity]N,udu x diŋir,,,P247526,48
52,P247526.49,,,,7,line,P247526,49
53,P247526.50,ii 26,udu[sheep]N ki[place]N Suen[1]DN,udu ki {d}suen,,,P247526,50
54,P247526.51,ii 27,udu[sheep]N saŋ[head]N,udu saŋ,,,P247526,51
